Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1L,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,390
M1L,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,430
M1L,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,410
M1L,Age characteristics,Total population by age groups,20 to 24 years,,,,,2040
M1L,Age characteristics,Total population by age groups,25 to 29 years,,,,,2360
M1L,Age characteristics,Total population by age groups,30 to 34 years,,,,,2595
M1L,Age characteristics,Total population by age groups,35 to 39 years,,,,,2515
M1L,Age characteristics,Total population by age groups,40 to 44 years,,,,,2695
M1L,Age characteristics,Total population by age groups,45 to 49 years,,,,,2805
M1L,Age characteristics,Total population by age groups,50 to 54 years,,,,,2515
M1L,Age characteristics,Total population by age groups,55 to 59 years,,,,,1880
M1L,Age characteristics,Total population by age groups,60 to 64 years,,,,,1420
M1L,Age characteristics,Total population by age groups,65 to 69 years,,,,,960
M1L,Age characteristics,Total population by age groups,70 to 74 years,,,,,795
M1L,Age characteristics,Total population by age groups,75 to 79 years,,,,,660
M1L,Age characteristics,Total population by age groups,80 to 84 years,,,,,610
M1L,Age characteristics,Total population by age groups,85 years and over,,,,,735
M1L,Age characteristics,Median age of the population,,,,,,37.2
M1L,Age characteristics,% of the population aged 15 and over,,,,,,80.8
M1M,Age characteristics,Total population by age groups,,,,,,22920
M1M,Age characteristics,Total population by age groups,0 to 4 years,,,,,1105
M1M,Age characteristics,Total population by age groups,5 to 9 years,,,,,1175
M1M,Age characteristics,Total population by age groups,10 to 14 years,,,,,1415
M1M,Age characteristics,Total population by age groups,15 to 19 years,,,,,1585
M1M,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,285
M1M,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,345
M1M,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,320
M1M,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,345
M1M,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,295
M1M,Age characteristics,Total population by age groups,20 to 24 years,,,,,1470
M1M,Age characteristics,Total population by age groups,25 to 29 years,,,,,1190
M1M,Age characteristics,Total population by age groups,30 to 34 years,,,,,1045
M1M,Age characteristics,Total population by age groups,35 to 39 years,,,,,1270
M1M,Age characteristics,Total population by age groups,40 to 44 years,,,,,1635
M1M,Age characteristics,Total population by age groups,45 to 49 years,,,,,2020
M1M,Age characteristics,Total population by age groups,50 to 54 years,,,,,1990
M1M,Age characteristics,Total population by age groups,55 to 59 years,,,,,1760
M1M,Age characteristics,Total population by age groups,60 to 64 years,,,,,1500
M1M,Age characteristics,Total population by age groups,65 to 69 years,,,,,945
M1M,Age characteristics,Total population by age groups,70 to 74 years,,,,,755
M1M,Age characteristics,Total population by age groups,75 to 79 years,,,,,760
M1M,Age characteristics,Total population by age groups,80 to 84 years,,,,,630
M1M,Age characteristics,Total population by age groups,85 years and over,,,,,660
M1M,Age characteristics,Median age of the population,,,,,,43.7
M1M,Age characteristics,% of the population aged 15 and over,,,,,,83.9
M1N,Age characteristics,Total population by age groups,,,,,,21505
M1N,Age characteristics,Total population by age groups,0 to 4 years,,,,,1035
M1N,Age characteristics,Total population by age groups,5 to 9 years,,,,,1025
M1N,Age characteristics,Total population by age groups,10 to 14 years,,,,,1085
M1N,Age characteristics,Total population by age groups,15 to 19 years,,,,,1360
M1N,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,245
M1N,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,255
M1N,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,285
M1N,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,285
M1N,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,285
M1N,Age characteristics,Total population by age groups,20 to 24 years,,,,,1190
M1N,Age characteristics,Total population by age groups,25 to 29 years,,,,,1105
M1N,Age characteristics,Total population by age groups,30 to 34 years,,,,,1150
M1N,Age characteristics,Total population by age groups,35 to 39 years,,,,,1370
M1N,Age characteristics,Total population by age groups,40 to 44 years,,,,,1600
M1N,Age characteristics,Total population by age groups,45 to 49 years,,,,,2075
M1N,Age characteristics,Total population by age groups,50 to 54 years,,,,,2050
M1N,Age characteristics,Total population by age groups,55 to 59 years,,,,,1695
M1N,Age characteristics,Total population by age groups,60 to 64 years,,,,,1485
M1N,Age characteristics,Total population by age groups,65 to 69 years,,,,,950
M1N,Age characteristics,Total population by age groups,70 to 74 years,,,,,690
M1N,Age characteristics,Total population by age groups,75 to 79 years,,,,,570
M1N,Age characteristics,Total population by age groups,80 to 84 years,,,,,530
M1N,Age characteristics,Total population by age groups,85 years and over,,,,,545
M1N,Age characteristics,Median age of the population,,,,,,44.5
M1N,Age characteristics,% of the population aged 15 and over,,,,,,85.4
M1P,Age characteristics,Total population by age groups,,,,,,43305
M1P,Age characteristics,Total population by age groups,0 to 4 years,,,,,2790
M1P,Age characteristics,Total population by age groups,5 to 9 years,,,,,2445
M1P,Age characteristics,Total population by age groups,10 to 14 years,,,,,2230
M1P,Age characteristics,Total population by age groups,15 to 19 years,,,,,2575
M1P,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,490
M1P,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,520
M1P,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,515
M1P,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,495
M1P,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,555
M1P,Age characteristics,Total population by age groups,20 to 24 years,,,,,2990
M1P,Age characteristics,Total population by age groups,25 to 29 years,,,,,3190
M1P,Age characteristics,Total population by age groups,30 to 34 years,,,,,3075
M1P,Age characteristics,Total population by age groups,35 to 39 years,,,,,3130
M1P,Age characteristics,Total population by age groups,40 to 44 years,,,,,3005
M1P,Age characteristics,Total population by age groups,45 to 49 years,,,,,3365
M1P,Age characteristics,Total population by age groups,50 to 54 years,,,,,3145
M1P,Age characteristics,Total population by age groups,55 to 59 years,,,,,2555
M1P,Age characteristics,Total population by age groups,60 to 64 years,,,,,2180
M1P,Age characteristics,Total population by age groups,65 to 69 years,,,,,1575
M1P,Age characteristics,Total population by age groups,70 to 74 years,,,,,1415
M1P,Age characteristics,Total population by age groups,75 to 79 years,,,,,1445
M1P,Age characteristics,Total population by age groups,80 to 84 years,,,,,1135
M1P,Age characteristics,Total population by age groups,85 years and over,,,,,1070
M1P,Age characteristics,Median age of the population,,,,,,38.7
M1P,Age characteristics,% of the population aged 15 and over,,,,,,82.8
M1R,Age characteristics,Total population by age groups,,,,,,28945
M1R,Age characteristics,Total population by age groups,0 to 4 years,,,,,1605
M1R,Age characteristics,Total population by age groups,5 to 9 years,,,,,1470
M1R,Age characteristics,Total population by age groups,10 to 14 years,,,,,1685
M1R,Age characteristics,Total population by age groups,15 to 19 years,,,,,1895
M1R,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,355
M1R,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,395
M1R,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,390
M1R,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,385
M1R,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,370
M1R,Age characteristics,Total population by age groups,20 to 24 years,,,,,1830
M1R,Age characteristics,Total population by age groups,25 to 29 years,,,,,1770
M1R,Age characteristics,Total population by age groups,30 to 34 years,,,,,1675
M1R,Age characteristics,Total population by age groups,35 to 39 years,,,,,1795
M1R,Age characteristics,Total population by age groups,40 to 44 years,,,,,2080
M1R,Age characteristics,Total population by age groups,45 to 49 years,,,,,2490
M1R,Age characteristics,Total population by age groups,50 to 54 years,,,,,2350
M1R,Age characteristics,Total population by age groups,55 to 59 years,,,,,1890
M1R,Age characteristics,Total population by age groups,60 to 64 years,,,,,1560
M1R,Age characteristics,Total population by age groups,65 to 69 years,,,,,1105
M1R,Age characteristics,Total population by age groups,70 to 74 years,,,,,1055
M1R,Age characteristics,Total population by age groups,75 to 79 years,,,,,925
M1R,Age characteristics,Total population by age groups,80 to 84 years,,,,,945
M1R,Age characteristics,Total population by age groups,85 years and over,,,,,810
M1R,Age characteristics,Median age of the population,,,,,,41.8
M1R,Age characteristics,% of the population aged 15 and over,,,,,,83.5
M1S,Age characteristics,Total population by age groups,,,,,,36505
M1S,Age characteristics,Total population by age groups,0 to 4 years,,,,,1620
M1S,Age characteristics,Total population by age groups,5 to 9 years,,,,,1505
M1S,Age characteristics,Total population by age groups,10 to 14 years,,,,,1830
M1S,Age characteristics,Total population by age groups,15 to 19 years,,,,,2385
M1S,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,450
M1S,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,490
M1S,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,465
M1S,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,515
M1S,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,470
M1S,Age characteristics,Total population by age groups,20 to 24 years,,,,,2595
M1S,Age characteristics,Total population by age groups,25 to 29 years,,,,,2510
M1S,Age characteristics,Total population by age groups,30 to 34 years,,,,,2055
M1S,Age characteristics,Total population by age groups,35 to 39 years,,,,,2125
M1S,Age characteristics,Total population by age groups,40 to 44 years,,,,,2540
M1S,Age characteristics,Total population by age groups,45 to 49 years,,,,,3220
M1S,Age characteristics,Total population by age groups,50 to 54 years,,,,,2895
M1S,Age characteristics,Total population by age groups,55 to 59 years,,,,,2515
M1S,Age characteristics,Total population by age groups,60 to 64 years,,,,,2255
M1S,Age characteristics,Total population by age groups,65 to 69 years,,,,,1640
M1S,Age characteristics,Total population by age groups,70 to 74 years,,,,,1540
M1S,Age characteristics,Total population by age groups,75 to 79 years,,,,,1340
M1S,Age characteristics,Total population by age groups,80 to 84 years,,,,,1070
M1S,Age characteristics,Total population by age groups,85 years and over,,,,,870
M1S,Age characteristics,Median age of the population,,,,,,43.2
M1S,Age characteristics,% of the population aged 15 and over,,,,,,86.4
M1T,Age characteristics,Total population by age groups,,,,,,34365
M1T,Age characteristics,Total population by age groups,0 to 4 years,,,,,1850
M1T,Age characteristics,Total population by age groups,5 to 9 years,,,,,1700
M1T,Age characteristics,Total population by age groups,10 to 14 years,,,,,1755
M1T,Age characteristics,Total population by age groups,15 to 19 years,,,,,2055
M1T,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,380
M1T,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,445
M1T,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,415
M1T,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,425
M1T,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,390
M1T,Age characteristics,Total population by age groups,20 to 24 years,,,,,2215
M1T,Age characteristics,Total population by age groups,25 to 29 years,,,,,2130
M1T,Age characteristics,Total population by age groups,30 to 34 years,,,,,1990
