Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,6185
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,4750
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,Without children,,1520
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,With children,,3230
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Lone-parent-family households,,,1440
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,,,,1375
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,,,820
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,,585
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,Without children,170
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,With children,415
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Lone-parent-family households,,240
M1G,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,Two-or-more-family households,,,550
M1G,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,,,,,2530
M1G,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,One-person households,,,,2190
M1G,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,Two-or-more-person households,,,,345
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,,,,,,10090
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Single-detached house,,,,,4170
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,"Apartment, building that has five or more storeys",,,,,4345
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Movable dwelling,,,,,0
M1G,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,,,,,1570
