Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M2J,Population and dwelling counts,Total private dwellings,,,,,,20503
M2J,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,19488
M2J,Population and dwelling counts,Population density per square kilometre,,,,,,
M2J,Population and dwelling counts,Land area (square km),,,,,,
M2K,Population and dwelling counts,Population in 2011,,,,,,19897
M2K,Population and dwelling counts,Population in 2006,,,,,,
M2K,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2K,Population and dwelling counts,Total private dwellings,,,,,,8797
M2K,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,8353
M2K,Population and dwelling counts,Population density per square kilometre,,,,,,
M2K,Population and dwelling counts,Land area (square km),,,,,,
M2L,Population and dwelling counts,Population in 2011,,,,,,12025
M2L,Population and dwelling counts,Population in 2006,,,,,,
M2L,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2L,Population and dwelling counts,Total private dwellings,,,,,,4201
M2L,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,4034
M2L,Population and dwelling counts,Population density per square kilometre,,,,,,
M2L,Population and dwelling counts,Land area (square km),,,,,,
M2M,Population and dwelling counts,Population in 2011,,,,,,32696
M2M,Population and dwelling counts,Population in 2006,,,,,,
M2M,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2M,Population and dwelling counts,Total private dwellings,,,,,,13015
M2M,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,12399
M2M,Population and dwelling counts,Population density per square kilometre,,,,,,
M2M,Population and dwelling counts,Land area (square km),,,,,,
M2N,Population and dwelling counts,Population in 2011,,,,,,67114
M2N,Population and dwelling counts,Population in 2006,,,,,,
M2N,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2N,Population and dwelling counts,Total private dwellings,,,,,,32185
M2N,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,29619
M2N,Population and dwelling counts,Population density per square kilometre,,,,,,
M2N,Population and dwelling counts,Land area (square km),,,,,,
M2P,Population and dwelling counts,Population in 2011,,,,,,7813
M2P,Population and dwelling counts,Population in 2006,,,,,,
M2P,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2P,Population and dwelling counts,Total private dwellings,,,,,,3166
M2P,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,3007
M2P,Population and dwelling counts,Population density per square kilometre,,,,,,
M2P,Population and dwelling counts,Land area (square km),,,,,,
M2R,Population and dwelling counts,Population in 2011,,,,,,39583
M2R,Population and dwelling counts,Population in 2006,,,,,,
M2R,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M2R,Population and dwelling counts,Total private dwellings,,,,,,15545
M2R,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,15215
M2R,Population and dwelling counts,Population density per square kilometre,,,,,,
M2R,Population and dwelling counts,Land area (square km),,,,,,
M3A,Population and dwelling counts,Population in 2011,,,,,,34435
M3A,Population and dwelling counts,Population in 2006,,,,,,
M3A,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3A,Population and dwelling counts,Total private dwellings,,,,,,13540
M3A,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,13086
M3A,Population and dwelling counts,Population density per square kilometre,,,,,,
M3A,Population and dwelling counts,Land area (square km),,,,,,
M3B,Population and dwelling counts,Population in 2011,,,,,,13499
M3B,Population and dwelling counts,Population in 2006,,,,,,
M3B,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3B,Population and dwelling counts,Total private dwellings,,,,,,5241
M3B,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,5076
M3B,Population and dwelling counts,Population density per square kilometre,,,,,,
M3B,Population and dwelling counts,Land area (square km),,,,,,
M3C,Population and dwelling counts,Population in 2011,,,,,,38289
M3C,Population and dwelling counts,Population in 2006,,,,,,
M3C,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M3C,Population and dwelling counts,Total private dwellings,,,,,,16050
M3C,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,15625
M3C,Population and dwelling counts,Population density per square kilometre,,,,,,
M3C,Population and dwelling counts,Land area (square km),,,,,,
