iter	Passed	Remaining
191	45615	73174
192	45918	73041
193	46304	73036
194	46608	72901
195	46876	72706
196	47114	72465
197	47514	72471
198	48141	72816
199	48824	73236
200	49480	73606
201	49821	73498
202	50020	73182
203	50467	73226
204	51056	73471
205	51506	73509
206	51936	73513
207	52468	73657
208	52836	73566
209	53025	73225
210	53208	72878
211	53457	72620
212	53670	72316
213	53877	72004
214	54156	71789
215	54353	71465
216	54551	71143
217	54763	70840
218	55004	70576
219	55194	70247
220	55446	69997
221	55664	69706
222	55930	69474
223	56113	69140
224	56333	68851
225	56549	68560
226	56802	68312
227	57035	68042
228	57295	67804
229	57566	67577
230	57959	67493
231	58248	67287
232	58496	67032
233	58800	66841
234	59042	66579
235	59325	66364
236	59628	66170
237	59813	65844
238	60011	65535
239	60239	65259
240	60508	65028
241	60706	64720
242	60902	64411
243	61155	64162
244	61374	63879
245	61584	63587
246	61805	63306
247	62031	63031
248	62279	62779
249	62474	62474
250	62717	62218
251	62997	61997
252	63251	61751
253	63456	61457
254	63662	61166
255	63871	60877
256	64068	60578
257	64282	60296
258	64473	59992
259	64659	59685
260	64864	59396
261	65066	59106
262	65320	58863
263	65528	58578
264	65756	58312
265	65953	58019
266	66154	57729
267	66376	57460
268	66604	57195
269	66824	56924
270	67015	56629
271	67237	56360
272	67448	56083
273	67650	55799
274	67861	55523
275	68076	55250
276	68285	54973
277	68490	54694
278	68697	54416
279	68891	54129
280	69090	53846
281	69310	53580
282	69510	53299
283	69731	53035
284	69906	52736
285	70098	52450
286	70315	52185
287	70501	51896
288	70713	51628
289	70897	51339
290	71107	51070
291	71305	50792
292	71512	50522
293	71724	50255
294	71902	49965
295	72100	49690
296	72340	49444
297	72572	49193
298	72801	48940
299	72994	48663
300	73247	48426
301	73497	48187
302	73698	47916
303	73921	47659
304	74159	47413
305	74454	47203
306	74697	46959
307	74946	46719
308	75280	46532
309	75572	46318
310	75796	46062
311	76054	45827
312	76322	45598
313	76581	45363
314	76828	45121
315	77004	44838
316	77204	44569
317	77446	44324
318	77654	44061
319	77854	43793
320	78035	43514
321	78291	43279
322	78520	43028
323	78739	42772
324	78920	42495
325	79096	42216
326	79310	41959
327	79545	41712
328	79718	41434
329	79899	41160
330	80095	40894
331	80328	40648
332	80538	40390
333	80721	40119
334	80902	39847
335	81128	39598
336	81405	39374
337	81659	39138
338	81958	38924
339	82246	38704
340	82521	38477
341	82783	38244
342	83033	38006
343	83336	37792
344	83601	37560
345	83789	37293
346	83970	37024
347	84193	36774
348	84399	36516
349	84607	36260
350	84791	35993
351	84960	35722
352	85165	35465
353	85355	35203
354	85557	34945
355	85739	34681
356	85911	34412
357	86092	34148
358	86288	33890
359	86492	33636
360	86667	33370
361	86844	33106
362	87017	32841
363	87232	32592
364	87419	32333
365	87626	32081
366	87835	31831
367	88036	31578
368	88273	31338
369	88476	31086
370	88658	30827
371	88845	30570
372	89027	30312
373	89257	30070
374	89473	29824
375	89652	29566
376	89829	29307
377	90017	29053
378	90243	28811
379	90436	28559
380	90656	28315
381	90857	28065
382	91042	27812
383	91278	27573
384	91486	27327
385	91664	27071
386	91856	26821
387	92036	26567
388	92282	26332
389	92486	26086
390	92670	25833
391	92874	25587
392	93068	25339
393	93372	25120
394	93563	24871
395	93767	24625
396	93942	24373
397	94123	24122
