_id,Year,BranchCode,Registrations
503,2016,PV,561
504,2016,QS,498
505,2016,RD,976
506,2016,RI,2872
507,2016,RN,1867
508,2016,RX,462
509,2016,SA,1169
510,2016,SB,125
511,2016,SC,2173
512,2016,SI,306
513,2016,SJ,1588
514,2016,SL,1415
515,2016,SP,720
516,2016,ST,1004
517,2016,SW,92
518,2016,SWS,1269
519,2016,TA,401
520,2016,TH,1627
521,2016,TOD,190
522,2016,TRL,13403
523,2016,VV,541
524,2016,WE,1027
525,2016,WP,480
526,2016,WS,2000
527,2016,WY,1164
528,2016,YO,1003
529,2016,YW,2379
530,2017,AB,6889
531,2017,ACD,1625
532,2017,AD,545
533,2017,AG,2538
534,2017,AH,645
535,2017,AL,1
536,2017,AN,1234
537,2017,AP,485
538,2017,BB,792
539,2017,BC,1210
540,2017,BD,709
541,2017,BE,1533
542,2017,BF,2256
543,2017,BKONE,84
544,2017,BKTWO,35
545,2017,BL,3267
546,2017,BR,2237
547,2017,BRW,2045
548,2017,BUR,735
549,2017,CC,725
550,2017,CE,2092
551,2017,CED,3831
552,2017,CH,2504
553,2017,CL,4960
554,2017,CS,1115
555,2017,DA,1174
556,2017,DM,1909
557,2017,DO,1927
558,2017,DP,1850
559,2017,DR,1334
560,2017,DS,41
561,2017,DT,316
562,2017,DU,808
563,2017,EA,2754
564,2017,EB,410
565,2017,EG,573
566,2017,EN,2628
567,2017,ES,1366
568,2017,FH,951
569,2017,FO,3661
570,2017,FP,991
571,2017,FV,6056
572,2017,GE,735
573,2017,GHP,856
574,2017,GW,348
575,2017,HB,655
576,2017,HC,757
577,2017,HIL,938
578,2017,HLS,218
579,2017,HP,1285
580,2017,HS,289
581,2017,HW,565
582,2017,JD,1359
583,2017,JO,674
584,2017,JS,1121
585,2017,KE,1547
586,2017,LB,579
587,2017,LD,2
588,2017,LE,1274
589,2017,LO,1849
590,2017,LS,3198
591,2017,MA,999
592,2017,MAL,2516
593,2017,MAS,1599
594,2017,MCG,1368
595,2017,MD,821
596,2017,MI,954
597,2017,MP,589
598,2017,MRV,1158
599,2017,MS,1059
600,2017,ND,3384
601,2017,NE,457
602,2017,NT,597
603,2017,OV,613
604,2017,PA,1645
605,2017,PE,376
606,2017,PK,2129
607,2017,PL,1680
608,2017,PM,816
609,2017,PU,849
610,2017,PV,569
611,2017,QS,566
612,2017,RD,914
613,2017,RI,2833
614,2017,RN,1296
615,2017,RX,427
616,2017,SA,1247
617,2017,SB,133
618,2017,SC,2449
619,2017,SI,287
620,2017,SJ,1659
621,2017,SL,1769
622,2017,SP,743
623,2017,ST,897
624,2017,SW,203
625,2017,SWS,1339
626,2017,TA,343
627,2017,TH,1599
