,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
6347,M1H,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,"Separated, but still legally married",,,,,635.0
6348,M1H,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Divorced,,,,,1105.0
6349,M1H,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Widowed,,,,,1140.0
6350,M1H,Population Characteristics,Total population 15 years and over by common-law status - 100% data,,,,,,19130.0
6351,M1H,Population Characteristics,Total population 15 years and over by common-law status - 100% data,Not in a common-law relationship,,,,,18340.0
6352,M1H,Population Characteristics,Total population 15 years and over by common-law status - 100% data,In a common-law relationship,,,,,790.0
7880,M1J,Population Characteristics,"Population, 2006 - 100% data",,,,,,35354.0
7881,M1J,Population Characteristics,Total population by sex and age groups - 100% data,,,,,,35350.0
7882,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",,,,,16845.0
7883,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",0 to 4 years,,,,1410.0
7884,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,1340.0
7885,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,1330.0
7886,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,1200.0
7887,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,1180.0
7888,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,1095.0
7889,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,1100.0
7890,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,1290.0
7891,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,1350.0
7892,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,1265.0
7893,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,1045.0
7894,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",55 to 59 years,,,,845.0
7895,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",60 to 64 years,,,,625.0
7896,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",65 to 69 years,,,,525.0
7897,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",70 to 74 years,,,,515.0
7898,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",75 to 79 years,,,,365.0
7899,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",80 to 84 years,,,,240.0
7900,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",85 years and over,,,,135.0
7901,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",,,,,18515.0
7902,M1J,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",0 to 4 years,,,,1300.0
