Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M3N,Population Characteristics,Total private dwellings,,,,,,14523
M3N,Population Characteristics,Private dwellings occupied by usual residents,,,,,,13841
M3N,Population Characteristics,Population density per square kilometre,,,,,,...
M3N,Population Characteristics,Land area in square kilometres,,,,,,...
M4A,Population Characteristics,Population; 2016,,,,,,14443
M4A,Population Characteristics,Population; 2011,,,,,,...
M4A,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4A,Population Characteristics,Total private dwellings,,,,,,6299
M4A,Population Characteristics,Private dwellings occupied by usual residents,,,,,,6170
M4A,Population Characteristics,Population density per square kilometre,,,,,,...
M4A,Population Characteristics,Land area in square kilometres,,,,,,...
M4B,Population Characteristics,Population; 2016,,,,,,18628
M4B,Population Characteristics,Population; 2011,,,,,,...
M4B,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4B,Population Characteristics,Total private dwellings,,,,,,7872
M4B,Population Characteristics,Private dwellings occupied by usual residents,,,,,,7599
M4B,Population Characteristics,Population density per square kilometre,,,,,,...
M4B,Population Characteristics,Land area in square kilometres,,,,,,...
M4C,Population Characteristics,Population; 2016,,,,,,46866
M4C,Population Characteristics,Population; 2011,,,,,,...
M4C,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4C,Population Characteristics,Total private dwellings,,,,,,20178
M4C,Population Characteristics,Private dwellings occupied by usual residents,,,,,,19431
M4C,Population Characteristics,Population density per square kilometre,,,,,,...
M4C,Population Characteristics,Land area in square kilometres,,,,,,...
M4E,Population Characteristics,Population; 2016,,,,,,25044
M4E,Population Characteristics,Population; 2011,,,,,,...
M4E,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4E,Population Characteristics,Total private dwellings,,,,,,11284
M4E,Population Characteristics,Private dwellings occupied by usual residents,,,,,,10784
M4E,Population Characteristics,Population density per square kilometre,,,,,,...
M4E,Population Characteristics,Land area in square kilometres,,,,,,...
M4G,Population Characteristics,Population; 2016,,,,,,19076
M4G,Population Characteristics,Population; 2011,,,,,,...
M4G,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4G,Population Characteristics,Total private dwellings,,,,,,8108
M4G,Population Characteristics,Private dwellings occupied by usual residents,,,,,,7731
M4G,Population Characteristics,Population density per square kilometre,,,,,,...
M4G,Population Characteristics,Land area in square kilometres,,,,,,...
M4H,Population Characteristics,Population; 2016,,,,,,19688
M4H,Population Characteristics,Population; 2011,,,,,,...
M4H,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4H,Population Characteristics,Total private dwellings,,,,,,6475
M4H,Population Characteristics,Private dwellings occupied by usual residents,,,,,,6415
M4H,Population Characteristics,Population density per square kilometre,,,,,,...
M4H,Population Characteristics,Land area in square kilometres,,,,,,...
M4J,Population Characteristics,Population; 2016,,,,,,35738
M4J,Population Characteristics,Population; 2011,,,,,,...
M4J,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4J,Population Characteristics,Total private dwellings,,,,,,15312
M4J,Population Characteristics,Private dwellings occupied by usual residents,,,,,,14754
M4J,Population Characteristics,Population density per square kilometre,,,,,,...
M4J,Population Characteristics,Land area in square kilometres,,,,,,...
M4K,Population Characteristics,Population; 2016,,,,,,31583
M4K,Population Characteristics,Population; 2011,,,,,,...
M4K,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4K,Population Characteristics,Total private dwellings,,,,,,15198
M4K,Population Characteristics,Private dwellings occupied by usual residents,,,,,,14556
M4K,Population Characteristics,Population density per square kilometre,,,,,,...
M4K,Population Characteristics,Land area in square kilometres,,,,,,...
M4L,Population Characteristics,Population; 2016,,,,,,32640
M4L,Population Characteristics,Population; 2011,,,,,,...
M4L,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4L,Population Characteristics,Total private dwellings,,,,,,14634
M4L,Population Characteristics,Private dwellings occupied by usual residents,,,,,,13901
M4L,Population Characteristics,Population density per square kilometre,,,,,,...
M4L,Population Characteristics,Land area in square kilometres,,,,,,...
M4M,Population Characteristics,Population; 2016,,,,,,24689
M4M,Population Characteristics,Population; 2011,,,,,,...
M4M,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4M,Population Characteristics,Total private dwellings,,,,,,11393
M4M,Population Characteristics,Private dwellings occupied by usual residents,,,,,,10787
M4M,Population Characteristics,Population density per square kilometre,,,,,,...
M4M,Population Characteristics,Land area in square kilometres,,,,,,...
M4N,Population Characteristics,Population; 2016,,,,,,15330
M4N,Population Characteristics,Population; 2011,,,,,,...
M4N,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4N,Population Characteristics,Total private dwellings,,,,,,6497
M4N,Population Characteristics,Private dwellings occupied by usual residents,,,,,,6190
M4N,Population Characteristics,Population density per square kilometre,,,,,,...
M4N,Population Characteristics,Land area in square kilometres,,,,,,...
M4P,Population Characteristics,Population; 2016,,,,,,20039
M4P,Population Characteristics,Population; 2011,,,,,,...
M4P,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4P,Population Characteristics,Total private dwellings,,,,,,12207
M4P,Population Characteristics,Private dwellings occupied by usual residents,,,,,,11487
M4P,Population Characteristics,Population density per square kilometre,,,,,,...
M4P,Population Characteristics,Land area in square kilometres,,,,,,...
M4R,Population Characteristics,Population; 2016,,,,,,11394
M4R,Population Characteristics,Population; 2011,,,,,,...
M4R,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4R,Population Characteristics,Total private dwellings,,,,,,5332
M4R,Population Characteristics,Private dwellings occupied by usual residents,,,,,,5036
M4R,Population Characteristics,Population density per square kilometre,,,,,,...
M4R,Population Characteristics,Land area in square kilometres,,,,,,...
M4S,Population Characteristics,Population; 2016,,,,,,26506
M4S,Population Characteristics,Population; 2011,,,,,,...
M4S,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4S,Population Characteristics,Total private dwellings,,,,,,14011
M4S,Population Characteristics,Private dwellings occupied by usual residents,,,,,,13397
M4S,Population Characteristics,Population density per square kilometre,,,,,,...
M4S,Population Characteristics,Land area in square kilometres,,,,,,...
M4T,Population Characteristics,Population; 2016,,,,,,10463
M4T,Population Characteristics,Population; 2011,,,,,,...
M4T,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4T,Population Characteristics,Total private dwellings,,,,,,5499
M4T,Population Characteristics,Private dwellings occupied by usual residents,,,,,,5212
M4T,Population Characteristics,Population density per square kilometre,,,,,,...
M4T,Population Characteristics,Land area in square kilometres,,,,,,...
M4V,Population Characteristics,Population; 2016,,,,,,18241
M4V,Population Characteristics,Population; 2011,,,,,,...
M4V,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4V,Population Characteristics,Total private dwellings,,,,,,10308
M4V,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9666
M4V,Population Characteristics,Population density per square kilometre,,,,,,...
M4V,Population Characteristics,Land area in square kilometres,,,,,,...
M4W,Population Characteristics,Population; 2016,,,,,,14561
M4W,Population Characteristics,Population; 2011,,,,,,...
M4W,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4W,Population Characteristics,Total private dwellings,,,,,,7918
M4W,Population Characteristics,Private dwellings occupied by usual residents,,,,,,7267
M4W,Population Characteristics,Population density per square kilometre,,,,,,...
M4W,Population Characteristics,Land area in square kilometres,,,,,,...
M4X,Population Characteristics,Population; 2016,,,,,,20822
M4X,Population Characteristics,Population; 2011,,,,,,...
M4X,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4X,Population Characteristics,Total private dwellings,,,,,,10809
M4X,Population Characteristics,Private dwellings occupied by usual residents,,,,,,10306
M4X,Population Characteristics,Population density per square kilometre,,,,,,...
M4X,Population Characteristics,Land area in square kilometres,,,,,,...
M4Y,Population Characteristics,Population; 2016,,,,,,30472
M4Y,Population Characteristics,Population; 2011,,,,,,...
M4Y,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M4Y,Population Characteristics,Total private dwellings,,,,,,21975
M4Y,Population Characteristics,Private dwellings occupied by usual residents,,,,,,19665
M4Y,Population Characteristics,Population density per square kilometre,,,,,,...
M4Y,Population Characteristics,Land area in square kilometres,,,,,,...
M5A,Population Characteristics,Population; 2016,,,,,,41078
M5A,Population Characteristics,Population; 2011,,,,,,...
M5A,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5A,Population Characteristics,Total private dwellings,,,,,,24186
M5A,Population Characteristics,Private dwellings occupied by usual residents,,,,,,22333
M5A,Population Characteristics,Population density per square kilometre,,,,,,...
M5A,Population Characteristics,Land area in square kilometres,,,,,,...
M5B,Population Characteristics,Population; 2016,,,,,,12785
M5B,Population Characteristics,Population; 2011,,,,,,...
M5B,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5B,Population Characteristics,Total private dwellings,,,,,,8249
M5B,Population Characteristics,Private dwellings occupied by usual residents,,,,,,7058
M5B,Population Characteristics,Population density per square kilometre,,,,,,...
M5B,Population Characteristics,Land area in square kilometres,,,,,,...
M5C,Population Characteristics,Population; 2016,,,,,,2951
M5C,Population Characteristics,Population; 2011,,,,,,...
M5C,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5C,Population Characteristics,Total private dwellings,,,,,,1879
M5C,Population Characteristics,Private dwellings occupied by usual residents,,,,,,1721
M5C,Population Characteristics,Population density per square kilometre,,,,,,...
M5C,Population Characteristics,Land area in square kilometres,,,,,,...
M5E,Population Characteristics,Population; 2016,,,,,,9118
M5E,Population Characteristics,Population; 2011,,,,,,...
M5E,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5E,Population Characteristics,Total private dwellings,,,,,,6232
M5E,Population Characteristics,Private dwellings occupied by usual residents,,,,,,5682
M5E,Population Characteristics,Population density per square kilometre,,,,,,...
M5E,Population Characteristics,Land area in square kilometres,,,,,,...
M5G,Population Characteristics,Population; 2016,,,,,,8423
M5G,Population Characteristics,Population; 2011,,,,,,...
M5G,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5G,Population Characteristics,Total private dwellings,,,,,,5876
M5G,Population Characteristics,Private dwellings occupied by usual residents,,,,,,4929
M5G,Population Characteristics,Population density per square kilometre,,,,,,...
M5G,Population Characteristics,Land area in square kilometres,,,,,,...
M5H,Population Characteristics,Population; 2016,,,,,,2005
M5H,Population Characteristics,Population; 2011,,,,,,...
M5H,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5H,Population Characteristics,Total private dwellings,,,,,,1718
M5H,Population Characteristics,Private dwellings occupied by usual residents,,,,,,1243
M5H,Population Characteristics,Population density per square kilometre,,,,,,...
M5H,Population Characteristics,Land area in square kilometres,,,,,,...
M5J,Population Characteristics,Population; 2016,,,,,,14545
M5J,Population Characteristics,Population; 2011,,,,,,...
M5J,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5J,Population Characteristics,Total private dwellings,,,,,,9913
M5J,Population Characteristics,Private dwellings occupied by usual residents,,,,,,8649
M5J,Population Characteristics,Population density per square kilometre,,,,,,...
M5J,Population Characteristics,Land area in square kilometres,,,,,,...
M5M,Population Characteristics,Population; 2016,,,,,,25975
M5M,Population Characteristics,Population; 2011,,,,,,...
M5M,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5M,Population Characteristics,Total private dwellings,,,,,,9824
M5M,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9408
M5M,Population Characteristics,Population density per square kilometre,,,,,,...
M5M,Population Characteristics,Land area in square kilometres,,,,,,...
M5N,Population Characteristics,Population; 2016,,,,,,16610
M5N,Population Characteristics,Population; 2011,,,,,,...
M5N,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5N,Population Characteristics,Total private dwellings,,,,,,6889
M5N,Population Characteristics,Private dwellings occupied by usual residents,,,,,,6486
M5N,Population Characteristics,Population density per square kilometre,,,,,,...
M5N,Population Characteristics,Land area in square kilometres,,,,,,...
M5P,Population Characteristics,Population; 2016,,,,,,19423
M5P,Population Characteristics,Population; 2011,,,,,,...
M5P,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5P,Population Characteristics,Total private dwellings,,,,,,10078
M5P,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9350
M5P,Population Characteristics,Population density per square kilometre,,,,,,...
M5P,Population Characteristics,Land area in square kilometres,,,,,,...
M5R,Population Characteristics,Population; 2016,,,,,,26496
M5R,Population Characteristics,Population; 2011,,,,,,...
M5R,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5R,Population Characteristics,Total private dwellings,,,,,,15786
M5R,Population Characteristics,Private dwellings occupied by usual residents,,,,,,13953
M5R,Population Characteristics,Population density per square kilometre,,,,,,...
M5R,Population Characteristics,Land area in square kilometres,,,,,,...
M5S,Population Characteristics,Population; 2016,,,,,,15372
M5S,Population Characteristics,Population; 2011,,,,,,...
M5S,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5S,Population Characteristics,Total private dwellings,,,,,,9380
M5S,Population Characteristics,Private dwellings occupied by usual residents,,,,,,7878
M5S,Population Characteristics,Population density per square kilometre,,,,,,...
M5S,Population Characteristics,Land area in square kilometres,,,,,,...
M5T,Population Characteristics,Population; 2016,,,,,,17748
M5T,Population Characteristics,Population; 2011,,,,,,...
M5T,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M5T,Population Characteristics,Total private dwellings,,,,,,9480
M5T,Population Characteristics,Private dwellings occupied by usual residents,,,,,,8537
M5T,Population Characteristics,Population density per square kilometre,,,,,,...
