Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M1C,Family characteristics,Total - Lone-parent census families in private households - 100% data,3 or more children,,,,,190
M1C,Family characteristics,Total - Persons not in census families in private households - 100% data,,,,,,3355
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,9765
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,4100
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,4035
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,1625
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,20
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,220
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,1160
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,220
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,5
M1G,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,5
M1G,Family characteristics,Total - Private households by household size - 100% data,,,,,,9770
M1G,Family characteristics,Total - Private households by household size - 100% data,1 person,,,,,2100
M1G,Family characteristics,Total - Private households by household size - 100% data,2 persons,,,,,2375
M1G,Family characteristics,Total - Private households by household size - 100% data,3 persons,,,,,1780
M1G,Family characteristics,Total - Private households by household size - 100% data,4 persons,,,,,1770
M1G,Family characteristics,Total - Private households by household size - 100% data,5 or more persons,,,,,1740
M1G,Family characteristics,Number of persons in private households,,,,,,29450
M1G,Family characteristics,Average household size,,,,,,3
M1G,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,7905
M1G,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,3060
M1G,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,1975
M1G,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,1820
M1G,Family characteristics,Total - Census families in private households by family size - 100% data,5 or more persons,,,,,1055
M1G,Family characteristics,Average size of census families,,,,,,3.2
M1G,Family characteristics,Total number of census families in private households - 100% data,,,,,,7905
M1G,Family characteristics,Total number of census families in private households - 100% data,Total couple families,,,,,5950
M1G,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Married couples,,,,5505
M1G,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Common-law couples,,,,445
M1G,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,,,,,1950
M1G,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Female parent,,,,1670
M1G,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Male parent,,,,280
M1G,Family characteristics,Total - Couple census families in private households - 100% data,,,,,,5950
M1G,Family characteristics,Total - Couple census families in private households - 100% data,Couples without children,,,,,2010
